Restaurant Name,User Rating,Price,Diverse Foods,Location
The Old Spaghetti Factory,4.4,$$,1,Salt Lake
Sakana Sushi Bar,4.5,$$,1,Salt Lake
Penny Ann's Cafe,4.5,$,0,Salt Lake
Braza Grill,4.4,$$,1,Salt Lake
Left Fork Gril,4.4,$,0,Salt Lake
SpudToddos,4.5,$,0,Salt Lake
Spitz,4.4,$$,1,Salt Lake
In-N-Out,4.5,$,0,Salt Lake
Habit Burger Grill,4.4,$,0,Salt Lake
Costa Vida,4.1,$$,1,Salt Lake
Greek House,4.7,$,1,Salt Lake
Lucky's Iron Door Roadhouse,4.3,$$,0,Salt Lake
Roxberry Juice Co.,4.4,$,0,Salt Lake
Famous Dave's Bar-B-Que,4.2,$$,0,Salt Lake
O Crab Cajun Seafood and Bar,4.3,$$,1,Salt Lake
Leatherby's Family Creamery,4.6,$$,0,Salt Lake
Anne's Restaurant,4.2,$,0,Salt Lake
Whisky Street Cocktails & Dining,4.4,$$,0,Salt Lake
Market Street Grill & Oyster Bar,4.3,$$$,0,Salt Lake
Taqueria 27,4.4,$$,1,Salt Lake
The Bayou,4.6,$$,1,Salt Lake
Caffe Molise,4.5,$$,1,Salt Lake
Ginger Street SLC,4.1,$$,1,Salt Lake
Red Rock Brewing,4.2,$$,0,Salt Lake
Settebello Pizzeria Napoletana,4.5,$$,1,Salt Lake
The Ramen Bar,4.5,$$,1,Salt Lake
Zest Kitchen & Bar,4.5,$$,1,Salt Lake
Pago on Main,4.7,$$$,1,Salt Lake
Michelangelo's On Main,4.2,$$,1,Salt Lake
Carson Kitchen,4.3,$$,0,Salt Lake
Takashi,4.7,$$,1,Salt Lake
Gracie's,4.2,$$,0,Salt Lake
Brio Italian Grille,4.2,$$,1,Salt Lake
HallPass,4.3,$$,1,Salt Lake
Buca di Beppo,4.1,$$,1,Salt Lake
Hire's Big H,4.3,$,0,Salt Lake
Tuscany Restaurant,4.6,$$$,1,Salt Lake
Black Bear Diner,4.1,$$,0,Salt Lake
Tuk Tuk's,4.8,$$,1,Salt Lake
Tonkotsu Ramen Bar,4.4,$$,1,Salt Lake
Jim's,4.3,$,0,Salt Lake
Pho 777,4.8,$,1,Salt Lake
Pho Cali,4.6,$,1,Salt Lake
Fat Fish,4.6,$$,1,Salt Lake
Tonkotsu Shabu Shabu Bar,4.7,$$,1,Salt Lake
Myung Ga Restaurant,4.1,$$,1,Salt Lake
The Break Sports Grill,4.4,$$,0,Salt Lake
Los Molcajetes ,4.1,$,1,Salt Lake
Sushi Monster,4.2,$$,1,Salt Lake
Wild Ginger Asian Cuisine,4.6,$$,1,Salt Lake
Pho Saigon Noodle House,4,$,1,Salt Lake
Hook & Reel Cajun Seafood & Bar,4.3,$$,1,Salt Lake
Waffle Love,3.9,$$,1,Salt Lake
La Luna Mexican,4,$,1,Salt Lake
New Thai Cafe,4.6,$,1,Salt Lake
Vegan Bowl,4.8,$$,1,Salt Lake
Fratelli Ristorante,4.2,$$,1,Salt Lake
Goodwood Barbeque Company,4.5,$$,0,Salt Lake
Teriyaki Grill,4.6,$,1,Salt Lake
Thai Land,4.3,$$,1,Salt Lake
Garage Grill,4.3,$$,0,Salt Lake
The Charleston,4.1,$$,0,Salt Lake
Cultivate Craft Kitchen,4.5,$$,0,Salt Lake
Montauk Bistro,4.7,$$,0,Salt Lake
Wasabi Sushi Restaurant,4.7,$$,1,Salt Lake
Cafe Trang,4,$$,1,Salt Lake
Sauce Boss Southern Kitchen,4.8,$$,1,Salt Lake
OAK Wood Fire Kitchen,4.1,$$,0,Salt Lake
Water Moon,4.2,$$,1,Salt Lake
Side of Aloha,4.4,$$,1,Salt Lake
Samurai Noodle,4.4,$,1,Salt Lake
Teriyaki Boy Grill Express,4.6,$,1,Salt Lake
La Hacienda Draper,4.3,$,1,Salt Lake
Old Bridge Cafe,4.8,$,1,Salt Lake
Cafe on Main,4.8,$,1,Salt Lake
Thai Kitchen SLC,4.6,$$,1,Salt Lake
Batista Food & Grill,4.7,$$,0,Salt Lake
Best Chicken,4.5,$,1,Salt Lake
Mano Thai Diner,4.5,$,1,Salt Lake
Bigeye Poke & grill,4.7,$,1,Salt Lake
Mad Greek Too,4.2,$,1,Salt Lake
Saffron Valley ,4.4,$,1,Salt Lake
Tandoori Taqueria,4.7,$,1,Salt Lake
OMBU Hot Pot,4.2,$$,1,Salt Lake
K-Recipe,5,$$,1,Salt Lake
Jang Soo jang Korean Restaurant,4.1,$$,1,Salt Lake
Carver's Steak & Seafood,4.4,$$$,0,Salt Lake
Alice's Kitchen,4.7,$,0,Salt Lake
Nacho House,4.3,$,1,Salt Lake
Our Kitchen Cafe,4.7,$,0,Salt Lake
Janet's Sunshine Cafe,4.6,$,0,Salt Lake
R&R BBQ,4.2,$$,1,Salt Lake
El Tacazo Taco Stand,4.9,$,1,Salt Lake
Empire Chinese Kitchen,4,$,1,Salt Lake
Salsa's Catering,4.7,$,1,Salt Lake
Atlantis Burgers,4.4,$,0,Salt Lake
Bruges Belgian Bistro,4.3,$$,1,Salt Lake
Thyme & Seasons Restaurant,4.6,$$,1,Salt Lake
Layla Mediterranean Grill and Mezze,4.4,$$,1,Salt Lake
Franck's Restaurant,4.7,$$$,1,Salt Lake
Lazy Dog Restaurant & Bar,4.4,$$,0,San Diego
Water Grill San Diego,4.5,$$$,0,San Diego
Eddie V's Prime Seafood,4.7,$$$$,1,San Diego
Bud & Rob's New Orleans Bistro,4.8,$$,1,San Diego
Top of the Market - San Diego,4.6,$$$,0,San Diego
Baci Restaurant,4.8,$$$,1,San Diego
Brigantine Seafood & Oyster Bar,4.5,$$$,0,San Diego
Empanada Kitchen,4.8,$,1,San Diego
STK Steakhouse,4.3,$$$$,0,San Diego
The Fishery,4.6,$$$,0,San Diego
Buona Forchetta,4.7,$$,1,San Diego
Hodad's Downtown,4.6,$,0,San Diego
Tin Fish Gaslamp,4.3,$$,1,San Diego
Coasterra,4.4,$$$,1,San Diego
Dobson's Bar & Restaurant,4.6,$$$,1,San Diego
Cocina 35,4.5,$$,1,San Diego
Saltwater,4.1,$$,0,San Diego
Hash House A Go Go,4.6,$$,0,San Diego
Puesto At the Headquarters,4.3,$$,0,San Diego
Luce Bar & Kitchen,4.6,$$,0,San Diego
Nick's Del mar,4.5,$$$,1,San Diego
Knotty Barrel Rancho Penasquitos,4.4,$$,1,San Diego
Yard House,4.4,$$,0,San Diego
CUCINA Urbana,4.6,$$,1,San Diego
Mamma Rosa Italian Restaurant,4.8,$$,1,San Diego
The Habit Burger Grill,4.5,$,0,San Diego
Shake Shack,4.4,$$,0,San Diego
NINE-TEN Restaurant & Bar,4.5,$$$,1,San Diego
Captain Keno's Restaurant,4.5,$,0,San Diego
Hamburger Factory Family Restaurant,4.4,$$,0,San Diego
Mi Ranchito Mexican Restaurant,4.6,$,0,San Diego
Veranda Fireside Lounge and Restaurant,4.4,$$$,1,San Diego
Duke's La Jolla,4.5,$$,1,San Diego
BJ's Restaurant & Brewhouse,4.1,$$,0,San Diego
Tender Greens,4.4,$$,1,San Diego
Marechiaro's Italian Restaurant,4.6,$$,1,San Diego
A.R. Valentien,4.7,$$$$,1,San Diego
The Melting Pot,4.5,$$$,0,San Diego
Chandler's Oceanfront Dining,4.1,$$,0,San Diego
Cori Pastifico Trattoria,4.7,$$,1,San Diego
Rudford's Restaurant,4.4,$,0,San Diego
Bistro 39 Restaurant and Bar,4.3,$$,0,San Diego
Maritza's Mexican Food,4.7,$,1,San Diego
La Puerta,4.5,$$,1,San Diego
QDOBA Mexican Eats,4.4,$,1,San Diego
Mariah's Westwind Restaurant,4.5,$$,0,San Diego
The Poseidon Restaurant,4.5,$$,0,San Diego
Islands Restaurant Mission Valley,4.4,$$,0,San Diego
Volare Italian Restaurant,4.6,$,1,San Diego
Morton's The Steakhouse,4.5,$$$$,0,San Diego
The Crack Shack,4.5,$$,0,San Diego
El Indio Mexican Restaurant and Catering,4.5,$,1,San Diego
El Agave Restaurant & Tequileria,4.5,$$,1,San Diego
Rubio's Coastal Grill,4.4,$,1,San Diego
Ottavio's Italian Restaurant,4.7,$$,1,San Diego
Homestyle Hawaiian,4.4,$,1,San Diego
Kojack's Restaurant,4.5,$,1,San Diego
Ki's Restaurant,4.5,$$,0,San Diego
CAVA,4.5,$,1,San Diego
Covewood,4.2,$$,0,San Diego
Las Cuatro Milpas,4.7,$,1,San Diego
True Food Kitchen,4.5,$$,0,San Diego
Fish 101 Leucadia,4.7,$$,0,San Diego
Great Maple,4.5,$$,0,San Diego
Carino's Restaurant,4.7,$$,1,San Diego
Seafire Restaurant & Bar,4.1,$$,1,San Diego
The Venetian Restaurant,4.6,$$,1,San Diego
El Torito,4.2,$$,1,San Diego
Mister A's ,4.6,$$$$,0,San Diego
Sardina's Italian Restaurant and Bar,4.5,$$,1,San Diego
Herringbone La Jolla,4.4,$$$,1,San Diego
Bongiovanni's Italian Restaurant,4.4,$$,1,San Diego
Q'ero Restaurant,4.5,$$,1,San Diego
MARKET Restaurant & Bar,4.8,$$$$,0,San Diego
Old Town Mexican Cafe,4.4,$$,1,San Diego
Bankok Bay Thai Restaurant,4.6,$$,1,San Diego
Seasons 52,4.4,$$,0,San Diego
Trust,4.6,$$,0,San Diego
The Mission,4.7,$$,0,San Diego
Aladdin Mediterranean Restaurant,4.5,$$,1,San Diego
II Fornaio's Coronado,4.5,$$,1,San Diego
Chart House,4.3,$$$,0,San Diego
Ray's Mexican Restaurant,4.4,$,1,San Diego
Marina Kitchen Restaurant & Bar,4.2,$$,0,San Diego
Nick & G's Restaurant,4.5,$$$,0,San Diego
George's at the Cove,4.4,$$$,1,San Diego
Marieta's,4.2,$$,1,San Diego
Meze Greek Fusion,4.5,$$,1,San Diego
Sushi Ota,4.7,$$$,1,San Diego
Mexico-Lindo Mexican Restaurant,4.5,$,1,San Diego
Casa Machado Restaurant,4.5,$$,1,San Diego
Fiddler's Green,4.4,$$,0,San Diego
The Quarterdeck Restaurant & Bar,4.3,$$,0,San Diego
Roy's Restaurant,4.3,$$$,1,San Diego
Ponce's Mexican Restaurant,4.5,$$,1,San Diego
Red Tracton's Restaurant,4.3,$$$,0,San Diego
Hob Nob Hill,4.4,$$,0,San Diego
The Smoking Goat Restaurant,4.6,$$$,1,San Diego
Pokez Mexican Restaurant,4.5,$,1,San Diego
Herb & Wood,4.5,$$$,1,San Diego